%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pid_data.setpoint,field.pid_data.input
1.71164167536902E+018,2357,1.71164167537154E+018,6.914756608,146.912261962891,103.911979675293
1.71164167546905E+018,2358,1.71164167547154E+018,7.014781184,146.912261962891,91.6870422363281
1.71164167556925E+018,2359,1.71164167557154E+018,7.114985728,146.912261962891,97.7995147705078
1.71164167566927E+018,2360,1.71164167567154E+018,7.214999552,146.912261962891,103.911979675293
1.71164167576928E+018,2361,1.71164167577154E+018,7.315017472,146.912261962891,85.574577331543
1.71164167586953E+018,2362,1.71164167587154E+018,7.415262208,146.912261962891,91.6870422363281
1.71164167596954E+018,2363,1.71164167597154E+018,7.515271168,146.912261962891,91.6870422363281
1.71164167606951E+018,2364,1.71164167607154E+018,7.615244032,146.912261962891,97.7995147705078
1.7116416761695E+018,2365,1.71164167617154E+018,7.71523712,146.912261962891,85.574577331543
1.71164167626979E+018,2366,1.71164167627154E+018,7.81552128,146.912261962891,110.024444580078
1.7116416763698E+018,2367,1.71164167637154E+018,7.915535872,146.912261962891,110.024444580078
1.7116416764698E+018,2368,1.71164167647154E+018,8.015529472,146.912261962891,97.7995147705078
1.71164167657377E+018,2369,1.71164167657454E+018,8.119506688,146.912261962891,86.9328994750977
1.71164167667003E+018,2370,1.71164167667254E+018,8.215764224,146.912261962891,93.8875350952148
1.71164167675423E+018,2371,1.71164167675754E+018,8.29996672,146.912261962891,88.0195617675781
1.71164167687022E+018,2372,1.71164167687254E+018,8.415952384,146.912261962891,117.359413146973
1.7116416769703E+018,2373,1.71164167697254E+018,8.51602816,146.912261962891,105.623466491699
1.71164167707114E+018,2374,1.71164167707254E+018,8.616877056,146.912261962891,111.49144744873
1.71164167717055E+018,2375,1.71164167717092E+018,8.716279296,0,95.9187545776367
1.71164167725418E+018,2376,1.71164167725492E+018,8.799909376,0,0
1.7116416773705E+018,2377,1.71164167736992E+018,8.9162368,0,0
1.71164167745434E+018,2378,1.71164167745492E+018,9.000068352,0,0
1.71164167757069E+018,2379,1.71164167756992E+018,9.116422912,0,0
